"编号","开始答题时间","结束答题时间","答题时长","1.您目前的主要岗位是？:课程负责人 / 教研组长","1.您目前的主要岗位是？:年级主任 / 副主任","1.您目前的主要岗位是？:班主任","1.您目前的主要岗位是？:升学指导","1.您目前的主要岗位是？:宿舍管理负责人","1.您目前的主要岗位是？:行政 / 教务","1.您目前的主要岗位是？:其他____","1.您目前的主要岗位是？:其他____[选项填空]","2.您在武汉英中任职年限？","3.您目前主要通过哪些方式处理工作信息？:QQ 群 / 私聊","3.您目前主要通过哪些方式处理工作信息？:微信群 / 私聊","3.您目前主要通过哪些方式处理工作信息？:Excel / Word 表格","3.您目前主要通过哪些方式处理工作信息？:纸质文件 / 打印材料","3.您目前主要通过哪些方式处理工作信息？:电话 / 口头沟通","3.您目前主要通过哪些方式处理工作信息？:其他____","3.您目前主要通过哪些方式处理工作信息？:其他____[选项填空]","4.以下哪些工作场景您觉得最耗时或最容易出问题？:发通知后确认是否所有人已读 / 已处理","4.以下哪些工作场景您觉得最耗时或最容易出问题？:收集老师或学生的反馈、表格、材料","4.以下哪些工作场景您觉得最耗时或最容易出问题？:整理学生数据、汇总报表","4.以下哪些工作场景您觉得最耗时或最容易出问题？:追踪任务或待办事项的执行情况","4.以下哪些工作场景您觉得最耗时或最容易出问题？:查找历史记录、旧文件、之前的沟通内容","4.以下哪些工作场景您觉得最耗时或最容易出问题？:家校沟通与信息同步","4.以下哪些工作场景您觉得最耗时或最容易出问题？:课程计划、教学进度的管理与追踪","4.以下哪些工作场景您觉得最耗时或最容易出问题？:成绩汇总与分析","4.以下哪些工作场景您觉得最耗时或最容易出问题？:其他 ____","4.以下哪些工作场景您觉得最耗时或最容易出问题？:其他 ____[选项填空]","5.在您的岗位上，目前最让您感到低效或头疼的一件事是什么？","6.您负责的学生信息目前主要存在哪里？:个人手机（QQ / 微信）","6.您负责的学生信息目前主要存在哪里？:个人电脑本地","6.您负责的学生信息目前主要存在哪里？:学校共享盘 / U盘","6.您负责的学生信息目前主要存在哪里？:纸质档案","6.您负责的学生信息目前主要存在哪里？:基本没有系统性记录","6.您负责的学生信息目前主要存在哪里？:其他____","6.您负责的学生信息目前主要存在哪里？:其他____[选项填空]","7.当您需要了解某个学生的整体情况时，通常需要多久才能拿到信息？","8.您对目前学生数据的安全性有多担忧？","9.您与家长沟通时，目前最常遇到什么困难？:沟通内容没有系统记录，靠人工记忆","9.您与家长沟通时，目前最常遇到什么困难？:通知发出后难以确认家长是否已看到","9.您与家长沟通时，目前最常遇到什么困难？:外籍家长的语言沟通障碍","9.您与家长沟通时，目前最常遇到什么困难？:沟通渠道太多，信息分散","9.您与家长沟通时，目前最常遇到什么困难？:暂无明显困难","9.您与家长沟通时，目前最常遇到什么困难？:其他____","9.您与家长沟通时，目前最常遇到什么困难？:其他____[选项填空]","10.在跨部门或跨岗位协作时，信息共享的顺畅程度如何？","11.您目前有哪些信息本希望能与其他岗位共享，但实际上很难做到？","12.如果引入数字化管理系统，您最希望它优先解决哪些问题？:统一通知发布，减少重复提醒和确认","12.如果引入数字化管理系统，您最希望它优先解决哪些问题？:自动追踪任务 / 作业的完成情况","12.如果引入数字化管理系统，您最希望它优先解决哪些问题？:学生信息、成长档案集中管理","12.如果引入数字化管理系统，您最希望它优先解决哪些问题？:课程计划和教学内容的系统化管理","12.如果引入数字化管理系统，您最希望它优先解决哪些问题？:更规范、有记录的家校沟通渠道","12.如果引入数字化管理系统，您最希望它优先解决哪些问题？:成绩 / 评估数据的统一录入与分析","12.如果引入数字化管理系统，您最希望它优先解决哪些问题？:减少人工统计、制表的重复工作","12.如果引入数字化管理系统，您最希望它优先解决哪些问题？:更安全的数据权限管理","12.如果引入数字化管理系统，您最希望它优先解决哪些问题？:其他____","12.如果引入数字化管理系统，您最希望它优先解决哪些问题？:其他____[选项填空]","13.您对新系统上手难度的接受程度是？","14.您每天愿意在系统上投入多少时间？","15.你希望这个数字化系统以什么方式使用:手机 App","15.你希望这个数字化系统以什么方式使用:电脑网页","15.你希望这个数字化系统以什么方式使用:微信小程序","15.你希望这个数字化系统以什么方式使用:均可，只要能用","16.您对引入新系统最担心的是什么？:会增加而非减少工作量","16.您对引入新系统最担心的是什么？:学习成本太高，老师不愿意用","16.您对引入新系统最担心的是什么？:学生数据存入系统后的隐私和安全风险","16.您对引入新系统最担心的是什么？:系统不稳定，影响正常工作","16.您对引入新系统最担心的是什么？:外籍教师使用可能存在语言或操作障碍","16.您对引入新系统最担心的是什么？:费用超出学校可承受范围","16.您对引入新系统最担心的是什么？:暂无明显顾虑","16.您对引入新系统最担心的是什么？:其他____","16.您对引入新系统最担心的是什么？:其他____[选项填空]","17.您认为在引入系统之前，学校最需要解决或明确的一件事是什么？","18.如果您是最终选择系统的决策参与者，您最看重以下哪个维度？:功能是否真正匹配学校的实际需求","18.如果您是最终选择系统的决策参与者，您最看重以下哪个维度？:老师和管理者上手是否容易","18.如果您是最终选择系统的决策参与者，您最看重以下哪个维度？:数据安全与权限管理是否规范","18.如果您是最终选择系统的决策参与者，您最看重以下哪个维度？:费用是否在合理范围内","18.如果您是最终选择系统的决策参与者，您最看重以下哪个维度？:后续培训与技术支持是否有保障","18.如果您是最终选择系统的决策参与者，您最看重以下哪个维度？:其他____","18.如果您是最终选择系统的决策参与者，您最看重以下哪个维度？:其他____[选项填空]","19.有没有您见过或听说过、觉得值得参考的数字化管理工具或做法？","20.还有什么想法、建议或顾虑，希望在这次调研中被记录下来？","语言","清洗数据结果","智能清洗数据无效概率","地理位置国家和地区","地理位置省","地理位置市","用户类型","用户标识","昵称","自定义字段","IP","UA","Referrer",
"13","21-May-2026 08:50:25","21-May-2026 09:08:41","1096","","","","","","F.行政 / 教务","","","D.5 年以上","A.QQ 群 / 私聊","B.微信群 / 私聊","","","E.电话 / 口头沟通","","","A.发通知后确认是否所有人已读 / 已处理","B.收集老师或学生的反馈、表格、材料","","","E.查找历史记录、旧文件、之前的沟通内容","","","","","","发通知的广泛性和是否全员知晓，各部门沟通信息不及时，不对等。","A.个人手机（QQ / 微信）","B.个人电脑本地","","","","","","B.需要问班主任 / 任课老师，通常要等半天以上","3","","","","","","F.其他____________","无需和家长沟通","3","暂时没有","A.统一通知发布，减少重复提醒和确认","","","","","","G.减少人工统计、制表的重复工作","H.更安全的数据权限管理","","","B.愿意适度学习，但希望日常操作不要太复杂","B.5 – 15 分钟（日常操作 + 简单记录）","","","","D.均可，只要能用","A.会增加而非减少工作量","","C.学生数据存入系统后的隐私和安全风险","D.系统不稳定，影响正常工作","","","","","","全员知晓和接受，有系统化培训的计划","A.功能是否真正匹配学校的实际需求","B.老师和管理者上手是否容易","C.数据安全与权限管理是否规范","D.费用是否在合理范围内","E.后续培训与技术支持是否有保障","","","没有","无","简体中文","未清洗","","中国","湖北省","武汉市","QQ","60305854756","Admin-Doris","","61.183.156.42","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36","https://graph.qq.com/oauth2.0/show?which=Login&display=pc&response_type=code&client_id=101489567&redirect_uri=https%3A%2F%2Fwj.qq.com%2Fapi%2Fsession%2Fqqconnect%2Fcallback%3Fsystem_str%3D805b524eb59849e253e0247606ddcfe7%26scene_type%3Drespondent%26system",
"12","21-May-2026 08:55:49","21-May-2026 09:07:10","681","","","","","","F.行政 / 教务","","","D.5 年以上","A.QQ 群 / 私聊","B.微信群 / 私聊","C.Excel / Word 表格","D.纸质文件 / 打印材料","E.电话 / 口头沟通","","","","","C.整理学生数据、汇总报表","","E.查找历史记录、旧文件、之前的沟通内容","","","","","","二号楼教室使用人数较多，覆盖范围较广，仍采用线下张贴预定表格（普通教室）+线上邮件预定（报告厅）的方式，如有使用冲突，需要多方协调，部分老师反映不如线上系统预定方便。但是目前市面上通用型场地预订系统，功能、流程、权限设置均无法完全贴合学校教学使用场景与管理需求。","","B.个人电脑本地","","D.纸质档案","","","","B.需要问班主任 / 任课老师，通常要等半天以上","3","","","","","","F.其他____________","暂无与家长进行日常沟通的需求","3","学生在课堂外的行规表现情况","","","","","","","G.减少人工统计、制表的重复工作","H.更安全的数据权限管理","","","A.只要功能真正有用，愿意花时间系统学习","D.30 分钟以上（深度使用，前提是显著省力）","A.手机 App","B.电脑网页","","","A.会增加而非减少工作量","","C.学生数据存入系统后的隐私和安全风险","D.系统不稳定，影响正常工作","","","","","","信息公开程度、权限划分","A.功能是否真正匹配学校的实际需求","","C.数据安全与权限管理是否规范","","","","","暂无","希望系统能够完全覆盖日常工作使用场景，避免多渠道、多系统沟通和管理，增加工作负担。","简体中文","未清洗","","中国","湖北省","武汉市","微信","o86_0jn2yjArIGsp9JdhmhJZxlvs","jranran","","61.183.156.42","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36 Edg/148.0.0.0","",
"11","20-May-2026 09:01:33","20-May-2026 09:16:00","867","A.课程负责人 / 教研组长","","","","","","","","C.3 - 5 年","A.QQ 群 / 私聊","","C.Excel / Word 表格","","","","","","","","D.追踪任务或待办事项的执行情况","","","G.课程计划、教学进度的管理与追踪","","I.其他 ____________","晚自习学生出勤报备","1.作为教师，课头较多班级较多的情况下，比较难记录自己各班的教学进度。
2.作为晚自习值班老师，每次统计学生出勤很麻烦，班主任忘记报备，学生迟到，或者未到后要在群内告知，这些工作很繁杂。
3.作为负责人，想要有个平台记记录和追踪各项任务的进度和执行情况，目前是靠在线表格，感觉有更先进的方法。","","","C.学校共享盘 / U盘","","","","","B.需要问班主任 / 任课老师，通常要等半天以上","3","","","","","E.暂无明显困难","","","4","暂无","A.统一通知发布，减少重复提醒和确认","B.自动追踪任务 / 作业的完成情况","","D.课程计划和教学内容的系统化管理","","","G.减少人工统计、制表的重复工作","H.更安全的数据权限管理","","","A.只要功能真正有用，愿意花时间系统学习","B.5 – 15 分钟（日常操作 + 简单记录）","","","","D.均可，只要能用","A.会增加而非减少工作量","","C.学生数据存入系统后的隐私和安全风险","D.系统不稳定，影响正常工作","","","","","","该系统能够根据老师们的要求和反馈，较容易的实现持续更新和优化。","A.功能是否真正匹配学校的实际需求","","C.数据安全与权限管理是否规范","","E.后续培训与技术支持是否有保障","","","之前用的啥SOP系统，我给忘了。反正请假、会议、审批等工作统一线上提交。","系统优化非常诱人，感觉能够很大提升工作效率。只不过当前的工作中，我感觉有很多繁杂的部分不确定是人为因素还是系统缺失导致的。比如监考的统计与安排，晚自习的学生情况反馈（班主任与值班老师），课程的安排（四连）等。希望系统的底层理念里除了提高效率，也能多些人文关怀。","简体中文","未清洗","","中国","湖北省","武汉市","QQ","60305744610","ECON-Lucy","","61.183.156.42","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36 Edg/148.0.0.0","https://graph.qq.com/",
"10","19-May-2026 22:20:56","19-May-2026 22:30:32","576","","","","","","","G.其他____________","教师","D.5 年以上","A.QQ 群 / 私聊","","C.Excel / Word 表格","","","","","A.发通知后确认是否所有人已读 / 已处理","B.收集老师或学生的反馈、表格、材料","","","E.查找历史记录、旧文件、之前的沟通内容","","","","","","学生每次测试分数的同步。
每次测试后，自己会有一个表格记录，然后AL专门要再填写一个表格，各班级平均分有一个表格。班主任也需要汇总，这中间难免出错，所以经常需要多次确认。","","B.个人电脑本地","C.学校共享盘 / U盘","","","","","C.很难快速汇总，信息分散在多个渠道","2","","","","","E.暂无明显困难","","","3","学生近况，其他学科成绩","","","C.学生信息、成长档案集中管理","","E.更规范、有记录的家校沟通渠道","F.成绩 / 评估数据的统一录入与分析","","","","","B.愿意适度学习，但希望日常操作不要太复杂","B.5 – 15 分钟（日常操作 + 简单记录）","","","","D.均可，只要能用","","","","D.系统不稳定，影响正常工作","","","","","","数据的共享范围","A.功能是否真正匹配学校的实际需求","","C.数据安全与权限管理是否规范","","","","","适合IB学校的ManageBac","暂时没有了","简体中文","未清洗","","中国","湖北省","武汉市","微信","o86_0jqFPVI0CvR4YiT1k8VH4UCw","黄超Mays","","27.18.87.162","Mozilla/5.0 (iPhone; CPU iPhone OS 26_4 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 MicroMessenger/8.0.73(0x1800492d) NetType/WIFI Language/zh_CN miniProgram/wxebadf544ddae62cb","https://sz.open.weixin.qq.com/",
"9","19-May-2026 13:28:48","19-May-2026 15:53:03","8655","A.课程负责人 / 教研组长","B.年级主任 / 副主任","C.班主任","","","","","","D.5 年以上","A.QQ 群 / 私聊","","C.Excel / Word 表格","D.纸质文件 / 打印材料","E.电话 / 口头沟通","","","A.发通知后确认是否所有人已读 / 已处理","B.收集老师或学生的反馈、表格、材料","C.整理学生数据、汇总报表","D.追踪任务或待办事项的执行情况","E.查找历史记录、旧文件、之前的沟通内容","F.家校沟通与信息同步","G.课程计划、教学进度的管理与追踪","H.成绩汇总与分析","","","1. 作为班主任，经常会有不定期的家校沟通，且沟通形式多样，有时无法及时将这些信息整理并记录到班主任的tutor log上，但是缺乏及时有效的记录有可能对后续的工作回溯造成影响，后续补录信息又会花费大量的时间和脑力（要回忆此前的沟通细节）；
2. 作为负责人，经常需要汇总私发信息并整合汇总到excel中进行数据/信息的更新，有时会遗漏，或需要回看QQ聊天记录来进行再次核对；做成腾讯文档的收集表来汇总信息时，又担心有老师遗漏了收集表的填写，仍无法核对当前信息是否万无一失；
3. 学生成绩发展曲线，当前是靠记录每一次成绩后用excel做简单的分析，耗时不说，且分析结果不够全面，参考性有限。","A.个人手机（QQ / 微信）","B.个人电脑本地","","D.纸质档案","","","","B.需要问班主任 / 任课老师，通常要等半天以上","3","A.沟通内容没有系统记录，靠人工记忆","","","","","","","4","暂无（想到再补充~)","A.统一通知发布，减少重复提醒和确认","B.自动追踪任务 / 作业的完成情况","C.学生信息、成长档案集中管理","D.课程计划和教学内容的系统化管理","E.更规范、有记录的家校沟通渠道","F.成绩 / 评估数据的统一录入与分析","G.减少人工统计、制表的重复工作","H.更安全的数据权限管理","","","B.愿意适度学习，但希望日常操作不要太复杂","C.15 – 30 分钟（有一定数据录入和管理）","A.手机 App","B.电脑网页","C.微信小程序","D.均可，只要能用","A.会增加而非减少工作量","B.学习成本太高，老师不愿意用","C.学生数据存入系统后的隐私和安全风险","D.系统不稳定，影响正常工作","E.外籍教师使用可能存在语言或操作障碍","F.费用超出学校可承受范围","","","","明确：
1. 可使用系统录入或处理的信息类型，涉及隐私或特别敏感的信息的处理方式；
2.语言表述规范，如教师对学生的评语（以免家长或学生端接受到信息后产生进一步的沟通内耗）。","A.功能是否真正匹配学校的实际需求","B.老师和管理者上手是否容易","C.数据安全与权限管理是否规范","D.费用是否在合理范围内","E.后续培训与技术支持是否有保障","","","了解不多","感谢！（抱拳）","简体中文","未清洗","","中国","湖北省","武汉市","QQ","60222024571","CaroL","","61.183.156.42","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36","https://graph.qq.com/",
"8","19-May-2026 15:11:56","19-May-2026 15:18:19","383","A.课程负责人 / 教研组长","","","","","","","","D.5 年以上","A.QQ 群 / 私聊","","C.Excel / Word 表格","D.纸质文件 / 打印材料","E.电话 / 口头沟通","","","A.发通知后确认是否所有人已读 / 已处理","B.收集老师或学生的反馈、表格、材料","C.整理学生数据、汇总报表","D.追踪任务或待办事项的执行情况","E.查找历史记录、旧文件、之前的沟通内容","","G.课程计划、教学进度的管理与追踪","H.成绩汇总与分析","","","信息孤岛严重
1. 预定教室冲突
2. 学生安排只有班主任知道
3. 学校内各处有所变动，只有特定的人知道
4. 排课表
5. 排监考","","B.个人电脑本地","","D.纸质档案","","","","C.很难快速汇总，信息分散在多个渠道","1","A.沟通内容没有系统记录，靠人工记忆","","","","","","","1","教室安排与学生同步且与班主任同步
考季的考试时间，考场，考场人数变化与我同步","A.统一通知发布，减少重复提醒和确认","B.自动追踪任务 / 作业的完成情况","C.学生信息、成长档案集中管理","D.课程计划和教学内容的系统化管理","","F.成绩 / 评估数据的统一录入与分析","G.减少人工统计、制表的重复工作","","","","B.愿意适度学习，但希望日常操作不要太复杂","D.30 分钟以上（深度使用，前提是显著省力）","A.手机 App","B.电脑网页","C.微信小程序","D.均可，只要能用","A.会增加而非减少工作量","B.学习成本太高，老师不愿意用","","D.系统不稳定，影响正常工作","","","","","","数据存储在本地，建立自己的机房，构建自己的服务器和数据中心","A.功能是否真正匹配学校的实际需求","","","","E.后续培训与技术支持是否有保障","","","飞书","你好，再见","简体中文","未清洗","","中国","湖北省","武汉市","QQ","36085378364","~","","61.183.156.42","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36 Edg/148.0.0.0","https://graph.qq.com/",
"7","19-May-2026 13:15:43","19-May-2026 13:23:03","440","A.课程负责人 / 教研组长","","","","","","","","D.5 年以上","A.QQ 群 / 私聊","","C.Excel / Word 表格","D.纸质文件 / 打印材料","E.电话 / 口头沟通","","","A.发通知后确认是否所有人已读 / 已处理","B.收集老师或学生的反馈、表格、材料","C.整理学生数据、汇总报表","D.追踪任务或待办事项的执行情况","E.查找历史记录、旧文件、之前的沟通内容","F.家校沟通与信息同步","G.课程计划、教学进度的管理与追踪","H.成绩汇总与分析","","","需要共同编辑的文件更新；家校沟通的paper work；大考成绩的汇总；","A.个人手机（QQ / 微信）","B.个人电脑本地","","","","","","A.几分钟内，我基本都知道或很容易找到","2","","B.通知发出后难以确认家长是否已看到","","","","","","3","暂时没有；但是对于新班主任或者新老师，会有比较明显的壁垒","A.统一通知发布，减少重复提醒和确认","","C.学生信息、成长档案集中管理","D.课程计划和教学内容的系统化管理","E.更规范、有记录的家校沟通渠道","F.成绩 / 评估数据的统一录入与分析","G.减少人工统计、制表的重复工作","H.更安全的数据权限管理","","","A.只要功能真正有用，愿意花时间系统学习","D.30 分钟以上（深度使用，前提是显著省力）","","","","D.均可，只要能用","A.会增加而非减少工作量","","C.学生数据存入系统后的隐私和安全风险","","","F.费用超出学校可承受范围","","","","信息安全","A.功能是否真正匹配学校的实际需求","","C.数据安全与权限管理是否规范","","E.后续培训与技术支持是否有保障","","","暂无","暂无","简体中文","未清洗","","中国","湖北省","武汉市","QQ","36096584854","奇奇丸子","","61.183.156.42","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36 Edg/148.0.0.0","https://graph.qq.com/",
"6","19-May-2026 12:50:05","19-May-2026 13:01:04","659","A.课程负责人 / 教研组长","","","","","","","","D.5 年以上","A.QQ 群 / 私聊","","C.Excel / Word 表格","D.纸质文件 / 打印材料","E.电话 / 口头沟通","","","A.发通知后确认是否所有人已读 / 已处理","","C.整理学生数据、汇总报表","D.追踪任务或待办事项的执行情况","E.查找历史记录、旧文件、之前的沟通内容","","G.课程计划、教学进度的管理与追踪","H.成绩汇总与分析","","","月考/活动举办时，教室/空间/观众/展板的预定。没有一个看板能统筹。","","B.个人电脑本地","","","","","","A.几分钟内，我基本都知道或很容易找到","3","A.沟通内容没有系统记录，靠人工记忆","","","D.沟通渠道太多，信息分散","","","","2","活动预定情况无法与高中SS部门/初中部门同事高效同步","A.统一通知发布，减少重复提醒和确认","B.自动追踪任务 / 作业的完成情况","","D.课程计划和教学内容的系统化管理","","","G.减少人工统计、制表的重复工作","H.更安全的数据权限管理","","","A.只要功能真正有用，愿意花时间系统学习","D.30 分钟以上（深度使用，前提是显著省力）","A.手机 App","B.电脑网页","","","A.会增加而非减少工作量","","","D.系统不稳定，影响正常工作","","","","","","系统的使用变成必选项而非可选项，让信息获取的渠道集中。","A.功能是否真正匹配学校的实际需求","","C.数据安全与权限管理是否规范","","E.后续培训与技术支持是否有保障","","","飞书","暂无，加油！","简体中文","未清洗","","中国","湖北省","武汉市","QQ","36081561703","Bella.X.","","61.183.156.42","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36 Edg/148.0.0.0","https://graph.qq.com/",
"5","19-May-2026 10:37:42","19-May-2026 11:07:10","1768","A.课程负责人 / 教研组长","","","","","","","","D.5 年以上","A.QQ 群 / 私聊","B.微信群 / 私聊","C.Excel / Word 表格","","","","","","","","D.追踪任务或待办事项的执行情况","","F.家校沟通与信息同步","","","","","主要是与家长沟通同步作业问题，信息不对称","A.个人手机（QQ / 微信）","B.个人电脑本地","","","","F.其他____________","iCloud同步","B.需要问班主任 / 任课老师，通常要等半天以上","1","","B.通知发出后难以确认家长是否已看到","","","","","","4","作业同步情况","","B.自动追踪任务 / 作业的完成情况","","","E.更规范、有记录的家校沟通渠道","","","","","","A.只要功能真正有用，愿意花时间系统学习","D.30 分钟以上（深度使用，前提是显著省力）","","","","D.均可，只要能用","","","","D.系统不稳定，影响正常工作","","","","","","需要哪些板块呈现在系统上。是对内部还是对外部。","A.功能是否真正匹配学校的实际需求","","C.数据安全与权限管理是否规范","D.费用是否在合理范围内","","","","无","建议板块明确，板块多元化，可以参考中南医院微信公众号系统是做的比较好的。（当然这个是医药系统）也建议有艺术展览，作品展示板块。","简体中文","未清洗","","中国","湖北省","武汉市","微信","o86_0jsCD0l6hxbfb_ra1_-Sm_Tc","shadow xi","","61.183.156.42","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Safari/605.1.15","https://open.weixin.qq.com/",
"4","19-May-2026 09:36:51","19-May-2026 09:49:48","777","A.课程负责人 / 教研组长","","","","","","","","D.5 年以上","A.QQ 群 / 私聊","","","","","","","","B.收集老师或学生的反馈、表格、材料","C.整理学生数据、汇总报表","","","","","","","","整理过往真题
我希望能够有一个题目数据库，帮我按照知识点 易错点 考察能力对过往习题进行整理
 
当我发现学生对某一类题目不擅长的时候，数据库能够帮助我迅速找到相似的题目，而不需要我在pastpaper中一张卷子一张卷子的找","","B.个人电脑本地","","","","F.其他____________","onedrive","A.几分钟内，我基本都知道或很容易找到","2","","","","","","F.其他____________","家长个人问题","4","迟到学生入校后，班主任无法第一时间了解，如果学生故意不交手机，老师可能很难管理。
如果非正常时间段入校，班主任可以收到通知。","","B.自动追踪任务 / 作业的完成情况","C.学生信息、成长档案集中管理","","","","G.减少人工统计、制表的重复工作","","","","A.只要功能真正有用，愿意花时间系统学习","B.5 – 15 分钟（日常操作 + 简单记录）","","B.电脑网页","","D.均可，只要能用","A.会增加而非减少工作量","","","","","","","","","维护是否方便
担心学生中间换学籍 换名字 换国籍后 数据库查找容易出错","A.功能是否真正匹配学校的实际需求","","","","","","","企业微信
很多家长不喜欢用QQ，班主任在QQ上留言经常不回复。","没有","简体中文","未清洗","","中国","湖北省","武汉市","QQ","60220279154","PSYCH_Shirley","","2409:894d:e89:14a4:ec80:39d0:5a87:c44f","Mozilla/5.0 (Linux; Android 12; HarmonyOS; ALN-AL80; HMSCore 6.15.6.312) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.5735.196 HuaweiBrowser/17.0.4.303 Mobile Safari/537.36","",
"3","19-May-2026 09:12:46","19-May-2026 09:46:00","1994","","","C.班主任","D.升学指导","","","","","B.1 – 3 年","A.QQ 群 / 私聊","","C.Excel / Word 表格","D.纸质文件 / 打印材料","E.电话 / 口头沟通","","","A.发通知后确认是否所有人已读 / 已处理","B.收集老师或学生的反馈、表格、材料","C.整理学生数据、汇总报表","D.追踪任务或待办事项的执行情况","E.查找历史记录、旧文件、之前的沟通内容","F.家校沟通与信息同步","G.课程计划、教学进度的管理与追踪","H.成绩汇总与分析","I.其他 ____________","1、学生进出门情况以及是否到班上课的情况（打卡情况）平时需要一直到班检查，或者和行政对接2、学生开成绩单如果能像大学一样直接生成打印版就可以解决很多等待时间的问题 3、考季考表制作以及座位表制作 4、IB IA以及EE学生完成的进度无法实时收集齐并且汇总 5、学生申请的名单以及各国别申请的情况无法实时汇总","1、（最要命的事是这个，剩下的可以作为参考）：每次考季的考表和座位表制作效率太低太低，由于人数众多，核对的时候实际也很容易出错。现在全靠手动一个个核对，手动一个个制作填写考表和座位表。如果有直接的模板可以一键生成考表，能节省很多时间，并且准确率也有保证。2、申请季的时候，班主任需要收集学生申请各国别的志愿，统一归档。后续学生也会被直接分配给相应的升学指导老师，但是不同国别有不同国别的表，如果要查找到学生自己的志愿，以及具体对应的是哪一位申请老师，目前是无法直观看到的。只能手动一个个去查。 3、学生会以及社团活动每届的情况都欠缺归档和汇总，靠Excel以及学生手动汇总，实际很容易丢失。上一届学生走了之后也无从得知该社团的情况。4、学生进校的情况目前是可以从行政查到的，但是进校的具体时间如果想要知道，需要一个个去问行政老师，从时间的角度可能也会有延迟，无法准确把握学生是否安全到校。其次有的学生会逃课，班主任无法每节课都到班检查，如果到班后有打卡，（比如听课十分钟后打卡）就能知道学生是否来过。","A.个人手机（QQ / 微信）","B.个人电脑本地","C.学校共享盘 / U盘","D.纸质档案","","","","C.很难快速汇总，信息分散在多个渠道","4","A.沟通内容没有系统记录，靠人工记忆","B.通知发出后难以确认家长是否已看到","","D.沟通渠道太多，信息分散","","","","3","1. 进校情况无法及时和班主任同步
2. 进班情况任课老师也无法及时和班主任同步（其实也没有办法一个个和班主任同步）
3. IA和EE的完成情况，每一稿的进度，无法和班主任同步
4. 申请的进度，各班每个学生录取的状况，各个升学指导这边信息是独立的，无法和班主任同步","A.统一通知发布，减少重复提醒和确认","B.自动追踪任务 / 作业的完成情况","C.学生信息、成长档案集中管理","D.课程计划和教学内容的系统化管理","E.更规范、有记录的家校沟通渠道","F.成绩 / 评估数据的统一录入与分析","G.减少人工统计、制表的重复工作","H.更安全的数据权限管理","","","A.只要功能真正有用，愿意花时间系统学习","C.15 – 30 分钟（有一定数据录入和管理）","A.手机 App","B.电脑网页","C.微信小程序","D.均可，只要能用","","","C.学生数据存入系统后的隐私和安全风险","D.系统不稳定，影响正常工作","","","","","","信息需要整体被收集好整理好，才能电子化数据化，这个前期投入的时间成本人力成本也很高","A.功能是否真正匹配学校的实际需求","B.老师和管理者上手是否容易","C.数据安全与权限管理是否规范","D.费用是否在合理范围内","E.后续培训与技术支持是否有保障","","","飞书","暂无","简体中文","未清洗","","中国","湖北省","武汉市","QQ","60305644283","Lucia Li","","61.183.156.42","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36","https://graph.qq.com/",
